Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,1/1/2013,001,0.05, ,0.00, ,205, ,6.4, ,51.0, ,30.0, ,39.8, ,92, ,55, ,77, ,33.1, ,4.7, ,113.2, ,47.6, 
2,FivePoints,San Joaquin Valley,1/2/2013,002,0.05, ,0.00, ,233, ,6.1, ,55.4, ,26.9, ,38.6, ,92, ,48, ,76, ,31.9, ,3.0, ,71.5, ,47.0, 
2,FivePoints,San Joaquin Valley,1/3/2013,003,0.05, ,0.00, ,231, ,6.0, ,55.6, ,25.8, ,38.6, ,93, ,48, ,75, ,31.4, ,3.0, ,71.0, ,46.4, 
2,FivePoints,San Joaquin Valley,1/4/2013,004,0.05, ,0.00, ,220, ,6.5, ,55.4, ,27.1, ,40.2, ,94, ,52, ,77, ,33.5, ,3.0, ,71.9, ,46.1, 
2,FivePoints,San Joaquin Valley,1/5/2013,005,0.04, ,0.18, ,189, ,7.5, ,55.2, ,30.3, ,43.0, ,95, ,56, ,80, ,37.1, ,4.2, ,101.7, ,46.3, 
2,FivePoints,San Joaquin Valley,1/6/2013,006,0.01, ,0.01, ,92, ,9.0, ,49.0, ,38.7, ,44.4, ,95, ,83, ,91, ,41.9, ,7.0, ,167.9, ,47.8, 
2,FivePoints,San Joaquin Valley,1/7/2013,007,0.03, ,0.00, ,170, ,8.2, ,51.8, ,34.2, ,43.4, ,94, ,72, ,86, ,39.4, ,3.3, ,80.3, ,47.8, 
2,FivePoints,San Joaquin Valley,1/8/2013,008,0.05, ,0.00, ,235, ,7.9, ,54.7, ,31.9, ,42.2, ,96, ,63, ,86, ,38.3, ,2.6, ,62.3, ,47.8, 
2,FivePoints,San Joaquin Valley,1/9/2013,009,0.04, ,0.02,R,207, ,9.7, ,57.0, ,45.0, ,51.0, ,95, ,64, ,76, ,43.7, ,5.5, ,131.1, ,48.1, 
2,FivePoints,San Joaquin Valley,1/10/2013,010,0.07, ,0.00, ,241, ,6.2, ,51.1, ,31.0, ,42.1, ,91, ,48, ,68, ,32.5, ,7.6, ,181.4, ,48.2, 
2,FivePoints,San Joaquin Valley,1/11/2013,011,0.06, ,0.00, ,258, ,5.4, ,51.2, ,26.6, ,39.3, ,91, ,38, ,66, ,29.1, ,4.6, ,109.5, ,46.9, 
2,FivePoints,San Joaquin Valley,1/12/2013,012,0.07, ,0.00, ,266, ,4.7, ,48.6, ,27.0, ,36.9, ,90, ,31, ,64, ,25.8, ,5.6, ,134.1, ,46.1, 
2,FivePoints,San Joaquin Valley,1/13/2013,013,0.06, ,0.00, ,252, ,4.1, ,48.3, ,24.8, ,34.5, ,81, ,39, ,61, ,22.3, ,4.9, ,118.2, ,44.5, 
2,FivePoints,San Joaquin Valley,1/14/2013,014,0.07, ,0.00, ,266, ,3.6, ,46.5, ,24.2, ,33.8, ,77, ,33, ,55, ,19.2, ,4.9, ,116.6, ,43.4, 
2,FivePoints,San Joaquin Valley,1/15/2013,015,0.06, ,0.00, ,255, ,4.0, ,52.4, ,24.2, ,36.7, ,82, ,29, ,54, ,21.6, ,3.0, ,71.9, ,43.0,Y
2,FivePoints,San Joaquin Valley,1/16/2013,016,0.07, ,0.00, ,267, ,4.5, ,58.0, ,23.6, ,38.7, ,81, ,30, ,56, ,24.3, ,2.9, ,68.7, ,43.1,Y
2,FivePoints,San Joaquin Valley,1/17/2013,017,0.06, ,0.00, ,271, ,5.3, ,61.5, ,25.8, ,40.9, ,83, ,34, ,61, ,28.5, ,2.9, ,70.5, ,43.5, 
2,FivePoints,San Joaquin Valley,1/18/2013,018,0.07, ,0.00, ,274, ,5.9, ,62.0, ,25.8, ,41.9, ,87, ,37, ,65, ,31.2, ,2.9, ,70.7, ,43.9, 
2,FivePoints,San Joaquin Valley,1/19/2013,019,0.07, ,0.00, ,274, ,6.3, ,64.9, ,26.9, ,44.2, ,90, ,35, ,64, ,32.8, ,3.0, ,71.2, ,44.4, 
2,FivePoints,San Joaquin Valley,1/20/2013,020,0.07, ,0.00, ,273, ,6.5, ,62.1, ,28.3, ,43.6, ,87, ,41, ,68, ,33.6, ,3.0, ,71.7, ,44.8, 
2,FivePoints,San Joaquin Valley,1/21/2013,021,0.07, ,0.00, ,277, ,6.3, ,62.2, ,30.6, ,43.9, ,81, ,41, ,64, ,32.7, ,3.2, ,76.5, ,45.0, 
2,FivePoints,San Joaquin Valley,1/22/2013,022,0.07, ,0.00, ,248, ,7.0, ,64.7, ,28.3, ,46.4, ,86, ,41, ,65, ,35.2, ,3.5, ,83.3, ,45.2, 
2,FivePoints,San Joaquin Valley,1/23/2013,023,0.04, ,0.00, ,85, ,8.1, ,59.1, ,40.3, ,51.1, ,79, ,51, ,63, ,39.0, ,4.8, ,115.5, ,47.1, 
2,FivePoints,San Joaquin Valley,1/24/2013,024,0.04, ,0.26, ,157, ,11.6, ,59.5, ,48.5, ,51.7, ,94, ,74, ,89, ,48.4, ,6.3, ,151.3, ,49.2, 
2,FivePoints,San Joaquin Valley,1/25/2013,025,0.02, ,0.06, ,97, ,13.0, ,58.5, ,49.5, ,53.7, ,95, ,84, ,92, ,51.6, ,3.7, ,87.8, ,50.6, 
2,FivePoints,San Joaquin Valley,1/26/2013,026,0.03, ,0.00, ,127, ,12.9, ,63.0, ,47.8, ,55.6, ,95, ,72, ,85, ,51.3, ,4.3, ,103.5, ,52.0, 
2,FivePoints,San Joaquin Valley,1/27/2013,027,0.09, ,0.00, ,306, ,7.1, ,56.0, ,36.3, ,45.9, ,88, ,47, ,67, ,35.7, ,7.9, ,189.3, ,51.4, 
2,FivePoints,San Joaquin Valley,1/28/2013,028,0.08, ,0.00, ,293, ,6.2, ,56.4, ,28.4, ,42.1, ,92, ,42, ,68, ,32.4, ,5.3, ,126.3, ,49.2, 
2,FivePoints,San Joaquin Valley,1/29/2013,029,0.08, ,0.00, ,266, ,6.9, ,56.7, ,31.7, ,43.5, ,89, ,48, ,71, ,34.9, ,5.5, ,133.1, ,48.0, 
2,FivePoints,San Joaquin Valley,1/30/2013,030,0.08, ,0.00, ,302, ,7.1, ,63.7, ,32.6, ,46.4, ,89, ,43, ,66, ,35.8, ,3.1, ,74.5, ,48.0, 
2,FivePoints,San Joaquin Valley,1/31/2013,031,0.08, ,0.00, ,306, ,7.6, ,64.7, ,32.9, ,47.6, ,90, ,43, ,68, ,37.5, ,3.0, ,71.2, ,48.4, 
2,FivePoints,San Joaquin Valley,2/1/2013,032,0.08, ,0.00, ,295, ,8.3, ,68.0, ,34.1, ,50.0, ,90, ,40, ,68, ,39.8, ,2.8, ,67.5, ,48.8, 
2,FivePoints,San Joaquin Valley,2/2/2013,033,0.03, ,0.00, ,123, ,9.8, ,60.8, ,42.9, ,50.8, ,88, ,63, ,78, ,44.1, ,3.3, ,79.3, ,49.4, 
2,FivePoints,San Joaquin Valley,2/3/2013,034,0.07, ,0.00, ,296, ,9.4, ,63.1, ,38.0, ,49.3, ,92, ,57, ,79, ,42.9, ,4.6, ,109.6, ,49.7, 
2,FivePoints,San Joaquin Valley,2/4/2013,035,0.08, ,0.00, ,314, ,8.8, ,67.3, ,34.9, ,50.7, ,94, ,44, ,70, ,41.3, ,3.5, ,83.1, ,49.9, 
2,FivePoints,San Joaquin Valley,2/5/2013,036,0.07, ,0.00, ,250, ,8.9, ,56.6, ,36.9, ,47.5, ,91, ,72, ,79, ,41.5, ,6.9, ,165.3, ,49.9, 
2,FivePoints,San Joaquin Valley,2/6/2013,037,0.07, ,0.00, ,289, ,8.1, ,56.6, ,33.1, ,44.2, ,92, ,67, ,81, ,38.9, ,5.0, ,121.0, ,49.4, 
2,FivePoints,San Joaquin Valley,2/7/2013,038,0.05, ,0.34, ,210, ,8.5, ,56.7, ,30.0, ,44.8, ,96, ,58, ,84, ,40.2, ,4.6, ,110.7, ,48.8, 
2,FivePoints,San Joaquin Valley,2/8/2013,039,0.04, ,0.06, ,196, ,7.7, ,51.0, ,36.1, ,42.2, ,91, ,67, ,84, ,37.7, ,6.0, ,143.3, ,49.0, 
2,FivePoints,San Joaquin Valley,2/9/2013,040,0.09, ,0.00, ,351, ,6.1, ,55.0, ,32.0, ,41.6, ,90, ,37, ,68, ,31.8, ,5.5, ,131.5, ,47.7, 
2,FivePoints,San Joaquin Valley,2/10/2013,041,0.08, ,0.00, ,340, ,6.1, ,56.6, ,28.4, ,41.9, ,91, ,40, ,67, ,31.8, ,3.1, ,73.4, ,47.1, 
2,FivePoints,San Joaquin Valley,2/11/2013,042,0.08, ,0.00, ,345, ,6.3, ,59.1, ,30.2, ,43.5, ,89, ,41, ,65, ,32.6, ,3.3, ,80.2, ,47.2, 
2,FivePoints,San Joaquin Valley,2/12/2013,043,0.09, ,0.00, ,344, ,6.4, ,61.4, ,31.5, ,45.4, ,88, ,36, ,62, ,33.2, ,3.9, ,93.0, ,47.4, 
